TIER,WEIGHT,Bank,City,CERT,Deposits_$K,CardLoans_$K,RAIL,Card_products,Application_link,Apply_method,BizCard_page_URL,Confidence,Rail_evidence,Source_links
4. BANKERS BANK WI (agent program),30,Citizens State Bank of Loyal,Loyal,6186,242765,0,BANKERSBANK,VISA Credit Cards - basic and rewards (consumer); no business card published,NONE for business (consumer only: https://lp.applycommunitycard.com/?merchantId=JJWPPVO58T),n/a for business - no published business credit card product,https://csbloyal.com/credit-card.html,MEDIUM-HIGH,"csbloyal.com (CERT 6186, Loyal WI) has one card page (personal only) - business.html lists checking/MM/loans/lease/cash mgmt with no business credit card. Consumer cards run on the Bankers' Bank Community BankCard rail (apply at lp.applycommunitycard.com?merchantId=JJWPPVO58T, servicing mycardstatement.com + scorecardrewards.com, FIS svc 800-423-7503) - NOT TCM. NOTE: distinct from Citizens State Bank (citizensstatebank.us), an Elan bank. | RECLASSIFIED NO-CARD->BankersBank (personal-card-only): BONUS ROW - same disputed host, same finding. Personal cards only (business.html lists no business credit card). Apply at lp.applycommunityc",https://csbloyal.com/credit-card.html | https://csbloyal.com/business.html | https://csbloyal.com/
4. BANKERS BANK WI (agent program),60,Ergo Bank,Markesan,10004,221684,0,BANKERSBANK,Visa Platinum Business Rewards; Visa Platinum Business Cash Rewards; Visa Platinum Business,https://lp.applycommunitycard.com/card-detail/BCC/VISA_PLATINUM_BUSINESS_REWARDS?merchantId=0L9F4CZNHG,Online self-serve (Bankers' Bank lp.applycommunitycard.com),https://ergobank.com/credit-cards.html,HIGH,"NOT TCM. Own page discloses verbatim: ""The creditor and issuer of these credit cards is Bankers' Bank, pursuant to a license from VISA U.S.A. Inc. in association with Ergo Bank."" Apply on lp.applycommunitycard.com (Bankers' Bank Community Card platform); servicing mycardstatement.com; rewards scorecardrewards.com. | RECLASSIFIED OTHER-BankersBank->BankersBank: FIRST-PARTY DISCLOSURE on bank's own page: ""The creditor and issuer of these credit cards is Bankers' Bank, pursuant to a license from VISA",https://ergobank.com/credit-cards.html
4. BANKERS BANK WI (agent program),56,Citizens State Bank,Cadott,2467,194657,0,BANKERSBANK,Visa Business Credit Cards (Visa Platinum Business Rewards family),https://lp.applycommunitycard.com/?merchantId=S8R27L4W4U,Online self-serve (Bankers' Bank community-card portal),https://www.csbankcadott.com/business.phtml,MEDIUM-HIGH,"Own business page links ""Visa(R) Business Credit Cards"" to csbankcadott.yourcommunitycard.com and ""View Options"" to lp.applycommunitycard.com/?merchantId=S8R27L4W4U. yourcommunitycard.com / applycommunitycard.com is the Bankers' Bank (Madison WI) agent card platform - ""The creditor and issuer of these credit cards is Bankers' Bank, pursuant to a license from VISA U.S.A. Inc."" NOT TCM (no mycommunitycc.com, TCM never named). Card-platform pages bot-block direct fetch (403/error). | RECLASSIFIED OTHER-BankersBank->BankersBank: Own business page links both csbankcadott.yourcommunitycard.com (runtimeConfig ""apiUrl"":""https://bankersbank.close.mkdecision.com"") and lp.a",https://www.csbankcadott.com/business.phtml | https://csbankcadott.yourcommunitycard.com/ | https://bankersbank.com/solutions/bank-cards/
4. BANKERS BANK WI (agent program),56,The Portage County Bank,Almond,10012,176573,254,BANKERSBANK,Personal Visa credit cards only,https://lp.applycommunitycard.com/?merchantId=PJ51JYJDBL (personal cards),Personal cards online self-serve; business card not advertised,https://www.portagecountybank.com/ (personal credit cards; no business card page),MEDIUM-HIGH,"Full HTML crawl of portagecountybank.com (home + sitemap): 'Credit Cards' appears ONLY under the Personal menu and links to lp.applycommunitycard.com/?merchantId=PJ51JYJDBL (Bankers' Bank Community BankCard platform; cardholder portal mycardstatement.com). Business menu contains only Business Checking Accounts - no business credit card page or apply link. TCM never named; no mycommunitycc.com. | RECLASSIFIED NO-CARD->BankersBank (personal-card-only): PERSONAL CARDS ONLY - full site crawl found ""Credit Cards"" solely under the Personal menu; no business card page or apply link. Personal rai",https://www.portagecountybank.com/ | https://www.portagecountybank.com/sitemap | https://capitol.bank/credit-cards.html
4. BANKERS BANK WI (agent program),56,Mayville Savings Bank,Mayville,30585,66988,0,BANKERSBANK,Visa personal and business credit cards (rewards / cash back) - no individual product names,https://lp.applycommunitycard.com/?merchantId=WGA94MG1AV,online,https://www.mayvillesavings.com/credit-cards.html,MEDIUM-HIGH,"NOT TCM. Own credit-cards page: 'Choosing the right personal or business credit card is easier than ever, thanks to the variety of Visa cards available through MSB!' Apply -> https://lp.applycommunitycard.com/?merchantId=WGA94MG1AV (same applycommunitycard platform as Forte Bank, whose linked Bankers' Bank page states 'Credit cards are issued by Bankers' Bank, Madison WI'); servicing at www.MyCardStatement.com and support 1-800-423-7503. No mycommunitycc.com or TCM Bank reference on the site. | RECLASSIFIED OTHER-BankersBank/Fiserv->BankersBank: Own credit-cards page carries the Bankers' Bank/FIS servicing stack: ""call 1-800-423-7503"" and ""access your credit card account at www.MyCar",https://www.mayvillesavings.com/credit-cards.html | https://cardmarketing.bankersbankusa.com/cards/113
5. ELAN (U.S. Bank agent),78,"Associated Bank, National Association",Green Bay,5296,35800709,194730,ELAN,Visa Smart Business Rewards Card; Business Specialty Cards; Commercial Rewards Card; One Card,https://card.myaccountaccess.com/credit/visa-smart-business-rewards.do?exp=&lang=en&redirect=smartbusinessvisa,online,https://www.associatedbank.com/business/cards/business-credit-cards,VERIFIED-own-page,Apply link goes to card.myaccountaccess.com/credit/visa-smart-business-rewards.do; page disclosure: 'Elan Financial Services provides Zero Fraud Liability for unauthorized transactions. Cardmember must notify Elan Financial Services promptly of any unauthorized use.',https://www.associatedbank.com/business/credit-and-lending/business-credit-cards | https://www.associatedbank.com/business/cards/commercial-credit-cards
5. ELAN (U.S. Bank agent),78,Johnson Bank,Racine,20296,5836686,18064,ELAN,Business credit cards (product names not itemized); commercial One Card separately,https://creditcardlearnmore.com/11t3/index?ecdma-lc=3924&ecid=OTHE_25940#business,Online self-serve (Apply Now) or phone 888.769.3796 opt 2,https://www.johnsonfinancialgroup.com/business/cash-management/business-credit-cards/,VERIFIED-own-page,"Own page discloses: ""The creditor and issuer of these cards is Elan Financial Services, pursuant to separate licenses from Visa U.S.A. Inc., and Mastercard International Incorporated."" Apply button goes to creditcardlearnmore.com",https://www.johnsonfinancialgroup.com/business/cash-management/business-credit-cards/
5. ELAN (U.S. Bank agent),78,"Town Bank, National Association",Hartland,34717,3719776,0,ELAN,Business credit cards (Elan Visa - low rate / cash back / flexible rewards),https://creditcardlearnmore.com/11t3/index?ecdma-lc=35591&ecid=OTHE_25940,Online self-serve via Elan creditcardlearnmore portal,https://www.townbank.us/small-business/borrowing/credit-cards.html,VERIFIED-own-page,"Own biz card page states: ""The creditor and issuer of these cards is Elan Financial Services, pursuant to a license from Visa U.S.A. Inc.""; CTA goes to creditcardlearnmore.com",https://www.townbank.us/small-business/borrowing/credit-cards.html
5. ELAN (U.S. Bank agent),78,Bank Five Nine,Oconomowoc,12517,2174252,284,ELAN,Elan Visa Business credit card,https://creditcardlearnmore.com/11t3/index?ecdma-lc=0117&ecid=OTHE_25940,Online self-serve (Apply Now) or contact cash management advisor,https://www.bankfivenine.com/business/lending/business-credit-cards/,VERIFIED-own-page,"Own page: ""To learn more, and/or to apply for an Elan Visa Consumer credit card, or an Elan Visa Business credit card, click below."" Apply link = creditcardlearnmore.com; servicing = myaccountaccess.com",https://www.bankfivenine.com/business/lending/business-credit-cards/
5. ELAN (U.S. Bank agent),78,North Shore Bank,Brookfield,28679,2163064,0,ELAN,Visa Business credit cards (low rate / cash back / flexible rewards); Business Travel Card,https://www.mycardapply.com/synindex/?ecdma-lc=12201&ecid=OTHE_25940&offertype=0#business,Online self-serve (Elan mycardapply.com),https://www.northshorebank.com/business/business-debit-and-credit-cards/business-credit-cards,VERIFIED-own-page,"Own-page disclosure: ""The creditor and issuer of these cards is Elan Financial Services, pursuant to separate licenses from Visa U.S.A. Inc., and Mastercard International Incorporated."" Apply via mycardapply.com; servicing myaccountaccess.com",https://www.northshorebank.com/business/business-debit-and-credit-cards/business-credit-cards
5. ELAN (U.S. Bank agent),74,National Bank of Commerce,Superior,14266,1840777,0,ELAN,Business Visa credit cards,https://creditcardlearnmore.com/11t3/index?ecdma-lc=35786&ecid=OTHE_25940#business,Online self-serve (Elan portal),https://www.nbcbanking.com/business-banking/,VERIFIED-own-page,"Own business-banking page 'Apply Online' button links to creditcardlearnmore.com/11t3/index?ecdma-lc=35786&ecid=OTHE_25940#business (Elan Financial Services portal); page text: ""our full array of VISA card services help you make more possible.""",https://www.nbcbanking.com/business-banking/
5. ELAN (U.S. Bank agent),74,IncredibleBank,Wausau,19772,1775232,0,ELAN,"Business credit cards - low interest, cash back, flexible rewards (Elan suite)",https://creditcardlearnmore.com/11t3/index?ecdma-lc=17297&ecid=OTHE_25940,online,https://www.incrediblebank.com/business/credit-cards,VERIFIED-own-page,"Page disclosure: 'The creditor and issuer of these cards is Elan Financial Services, pursuant to separate licenses from Visa U.S.A. Inc., and Mastercard International Incorporated.' Apply/learn-more link -> creditcardlearnmore.com/11t3/index?ecdma-lc=17297; servicing at myaccountaccess.com/onlineCard/login.do?theme=elan1",https://www.incrediblebank.com/business/credit-cards | https://www.incrediblebank.com/business/banking-and-cards
5. ELAN (U.S. Bank agent),74,Tri City National Bank,Oak Creek,18922,1768019,0,ELAN,Business low rate / cash back / flexible rewards cards (Elan),https://creditcardlearnmore.com/11t3/index?ecdma-lc=13898&ecid=OTHE_25940,Online self-serve,https://tcnb.com/business-credit-cards.html,VERIFIED-own-page,"Own business-card page discloses: ""The creditor and issuer of these cards is Elan Financial Services, pursuant to a license from Visa U.S.A. Inc."" Apply link = creditcardlearnmore.com; servicing = myaccountaccess.com",https://tcnb.com/business-credit-cards.html
5. ELAN (U.S. Bank agent),59,CCFBank National Association,Altoona,57265,1588094,0,ELAN,Smart Business Rewards Card (Elan),Not published on page (Learn More link is #nogo); contact bank,Branch/phone contact - no live online apply link on page,https://ccf.us/business/business-banking/credit-cards/,VERIFIED-own-page,"Own page discloses: ""The creditor and issuer of these cards is Elan Financial Services, pursuant to separate licenses from Visa U.S.A. Inc., and Mastercard International Incorporated."" Servicing link = myaccountaccess.com",https://ccf.us/business/business-banking/credit-cards/
5. ELAN (U.S. Bank agent),74,"WaterStone Bank, SSB",Wauwatosa,28513,1465485,718,ELAN,Business credit cards (low rate / cash back / rewards; names not listed),https://www.mycardapply.com/synindex/?ecdma-lc=01649&ecid=OTHE_25940&offertype=0,Online self-serve (Elan mycardapply.com),https://www.wsbonline.com/business/business-cards/business-credit-cards/,VERIFIED-own-page,"Own-page disclosure: ""The creditor and issuer of these cards is Elan Financial Services, pursuant to separate licenses from Visa U.S.A. Inc., and Mastercard International Incorporated."" Apply via mycardapply.com",https://www.wsbonline.com/business/business-cards/business-credit-cards/
5. ELAN (U.S. Bank agent),74,Waukesha State Bank,Waukesha,16160,1267880,5925,ELAN,"Business Visa/Mastercard credit cards (expense reporting, no employee-card fee)",https://creditcardlearnmore.com/11t3/index?ecdma-lc=00181&ecid=OTHE_25940,Online self-serve (Elan portal),https://www.waukeshabank.com/business/lending/loans-credit,VERIFIED-own-page,"Own page states: ""The creditor and issuer of these cards is Elan Financial Services, pursuant to separate licenses from Visa U.S.A. Inc., and Mastercard International Incorporated.""",https://www.waukeshabank.com/business/lending/loans-credit
5. ELAN (U.S. Bank agent),74,The Park Bank,Madison,19608,1247870,5019,ELAN,Visa Business Rewards Card,https://www.mycardapply.com/synindex?ecdma-lc=35987&ecid=OTHE_25940&offertype=0#business,online,https://www.park.bank/business/loans/visa-business-rewards-card,VERIFIED-own-page,"Apply Now button markup: aria-label=""Link to Elan Apply Now"" href=https://www.mycardapply.com/synindex?ecdma-lc=35987&ecid=OTHE_25940&offertype=0#business (Elan application domain, same ecid as other Elan agent banks); servicing myaccountaccess.com",https://www.park.bank/business/loans/visa-business-rewards-card
5. ELAN (U.S. Bank agent),74,Peoples State Bank,Wausau,18569,1200181,0,ELAN,Business low rate / cash back / flexible rewards cards (Elan),https://creditcardlearnmore.com/11t3/index?ecdma-lc=00210&ecid=OTHE_25940,Online self-serve,https://www.bankpeoples.com/business/bank/credit-cards,VERIFIED-own-page,"Own business-card page discloses: ""The creditor and issuer of these cards is Elan Financial Services, pursuant to separate licenses from Visa U.S.A. Inc., and Mastercard International Incorporated."" Apply = creditcardlearnmore.com (Elan)",https://www.bankpeoples.com/business/bank/credit-cards
5. ELAN (U.S. Bank agent),74,Forward Bank,Marshfield,28530,1001728,293,ELAN,Visa Business Cash Preferred; Visa Business Zero+; Smart Business Rewards Visa; Visa Business Real Rewards,https://www.mycardapply.com/synindex/product?ecdma-lc=12176&ecid=OTHE_25940&offertype=143,Online self-serve (per-product apply links),https://www.forward.bank/business/business-credit-cards/,VERIFIED-own-page,"Own page discloses: ""The creditor and issuer of these Cards is Elan Financial Services, pursuant to separate licenses from Visa U.S.A. Inc., and Mastercard International Incorporated."" Apply links go to mycardapply.com (Elan)",https://www.forward.bank/business/business-credit-cards/
5. ELAN (U.S. Bank agent),70,Citizens Bank,Mukwonago,13055,992753,0,ELAN,Visa Business Credit Card (low rate / cash back / flexible rewards),https://creditcardlearnmore.com/11t3/index?ecdma-lc=00285&ecid=OTHE_25940,Online self-serve (Elan creditcardlearnmore.com),https://www.citizensbankwi.bank/business/cards-and-payments,VERIFIED-own-page,"Own-page Cards & Payments disclosure: ""The creditor and issuer of these cards is Elan Financial Services, pursuant to separate licenses from Visa U.S.A. Inc."" Apply link on creditcardlearnmore.com (Elan)",https://www.citizensbankwi.bank/business/cards-and-payments
5. ELAN (U.S. Bank agent),70,The Port Washington State Bank,Port Washington,8698,922861,2785,ELAN,Elan Visa Business Credit Card,https://creditcardlearnmore.com/11t3/index?ecdma-lc=00114&ecid=OTHE_25940,Online self-serve via Elan creditcardlearnmore portal,https://pwsb.bank/business-credit-card.html,VERIFIED-own-page,"Own biz card page states: ""The creditor and issuer of these cards is Elan Financial Services, pursuant to a license from Visa U.S.A. Inc.""; Compare Cards link to creditcardlearnmore.com",https://pwsb.bank/business-credit-card.html
5. ELAN (U.S. Bank agent),70,Bank of Wisconsin Dells,Wisconsin Dells,15136,918457,0,ELAN,"Business low rate, cash back, flexible rewards cards",https://creditcardlearnmore.com/11t3/index?ecdma-lc=00130&ecid=OTHE_25940#business,Online self-serve (Elan portal),https://www.dellsbank.bank/credit-cards/,VERIFIED-own-page,"Own page states: ""The creditor and issuer of these cards is Elan Financial Services, pursuant to separate licenses from Visa U.S.A Inc., and Mastercard International Incorporated.""",https://www.dellsbank.bank/credit-cards/
5. ELAN (U.S. Bank agent),70,Security Financial Bank,Durand,14222,822715,0,ELAN,Business Visa credit cards (Elan suite),https://creditcardlearnmore.com/11t3/index?ecdma-lc=00448&ecid=OTHE_25940#business,online,https://www.sfbank.com/business_debit_credit_cards.phtml,VERIFIED-own-page,"Page disclosure: 'The creditor and issuer of these cards is Elan Financial Services, pursuant to a license from Visa USA, Inc.' Apply link -> creditcardlearnmore.com/11t3/index?ecdma-lc=00448#business; servicing myaccountaccess.com?theme=elan1&loc=448",https://www.sfbank.com/business_debit_credit_cards.phtml | https://www.sfbank.com/business_banking.phtml
5. ELAN (U.S. Bank agent),70,River Bank,Stoddard,14995,795014,0,ELAN,Visa/American Express business cards via Elan (low rate / cash back / flexible rewards),https://creditcardlearnmore.com/11t3/index?ecdma-lc=00099&ecid=OTHE_25940#business,Online self-serve (Learn More/Apply),https://riverbank.biz/business-credit-cards.html,VERIFIED-own-page,"Own page discloses: ""The creditor and issuer of these cards is Elan Financial Services, pursuant to a license from Visa U.S.A. Inc."" Apply/Learn More = creditcardlearnmore.com",https://riverbank.biz/business-credit-cards.html
5. ELAN (U.S. Bank agent),70,Peoples State Bank,Prairie Du Chien,12814,792043,0,ELAN,"Business credit cards (Elan suite; expense reporting, employee spend limits)",https://www.mycardapply.com/synindex/?ecdma-lc=36115&ecid=OTHE_25940&offertype=0#business,Online self-serve (Elan mycardapply.com),https://peoplesfinancial.com/business-credit-cards.html,VERIFIED-own-page,"Own-page disclosure: ""The creditor and issuer of these Cards is Elan Financial Services, pursuant to separate licenses from Visa U.S.A. Inc. and Mastercard International Incorporated."" Apply mycardapply.com; servicing myaccountaccess.com",https://peoplesfinancial.com/business-credit-cards.html
5. ELAN (U.S. Bank agent),55,Farmers and Merchants Union Bank,Columbus,14445,783784,0,ELAN,FMUB Visa credit cards (consumer / young adult / business),NOT-FOUND (no online business application published; Contact Us),Branch/contact (920-623-4000) - no online self-serve business application found,https://fmub.bank/card-services.html,VERIFIED-own-page,"Own Card Services page offers Visa credit cards ""for consumers, young adults and businesses"" and the only card servicing link is https://www.myaccountaccess.com/onlineCard/login.do (Elan). No TCM/mycommunitycc.com, no TIB/cardaccount.net.",https://fmub.bank/card-services.html
5. ELAN (U.S. Bank agent),70,Prevail Bank,Medford,29294,757718,0,ELAN,"Business credit cards - low rate, cash back, flexible rewards (Elan suite)",https://creditcardlearnmore.com/11t3/index?ecdma-lc=2109&ecid=OTHE_25940,online,https://www.prevail.bank/personal/banking/credit-cards,VERIFIED-own-page,"Own page text: 'Prevail Bank has partnered with Elan Financial Services (R) to offer credit card options' and 'The creditor and issuer of these cards is Elan Financial Services, pursuant to separate licenses from Visa U.S.A. Inc., and Mastercard International Incorporated.' Business section 'See our Business Options and Apply Today!' -> creditcardlearnmore.com/11t3/index?ecdma-lc=2109",https://www.prevail.bank/personal/banking/credit-cards | https://www.prevail.bank/business/services
5. ELAN (U.S. Bank agent),70,Royal Bank,Elroy,13454,716539,358,ELAN,Business low rate / cash back / flexible rewards cards (Elan),https://creditcardlearnmore.com/11t3/index?ecdma-lc=231&ecid=OTHE_25940,Online self-serve,https://www.royalbank-usa.com/business-and-ag/business-banking-services/business-credit-cards,VERIFIED-own-page,"Own business-card page discloses: ""The creditor and issuer of these cards is Elan Financial Services, pursuant to separate licenses from Visa U.S.A. Inc., and Mastercard International Incorporated."" Apply = creditcardlearnmore.com (Elan)",https://www.royalbank-usa.com/business-and-ag/business-banking-services/business-credit-cards
5. ELAN (U.S. Bank agent),70,Westbury Bank,Waukesha,28400,706433,0,ELAN,Business Cash Preferred Card; Smart Business Rewards Card; Business Real Rewards Card,https://creditcardlearnmore.com/11t3/index?ecdma-lc=23490&ecid=OTHE_25940#business,Online self-serve via Elan co-branded portal,https://westburybankwi.com/credit-cards.html,VERIFIED-own-page,"Bank's own /credit-cards.html 301-redirects to Elan portal creditcardlearnmore.com (lc=23490); Westbury-branded portal discloses ""The creditor and issuer of these Cards is Elan Financial Services, pursuant to a license from Visa U.S.A. Inc., and Mastercard International Incorporated."" (NOTE: a TCM claim found in search results belongs to name-twin West Bank of Iowa, westbankstrong.com - not Westbury)",https://westburybankwi.com/credit-cards.html | https://creditcardlearnmore.com/11t3/index?ecdma-lc=23490&ecid=OTHE_25940#business
5. ELAN (U.S. Bank agent),70,Dairy State Bank,Rice Lake,17162,644588,162,ELAN,Business credit cards (Elan: low rate / cash back / flexible rewards),https://creditcardlearnmore.com/11t3/index?ecdma-lc=12246&ecid=OTHE_25940,Online self-serve via Elan creditcardlearnmore portal,https://dairystatebank.com/business/credit-cards/,VERIFIED-own-page,"Own business credit card page states: ""The creditor and issuer of these cards is Elan Financial Services, pursuant to separate licenses from Visa U.S.A. Inc., and Mastercard International Incorporated.""; servicing via myaccountaccess.com?theme=elan2&loc=12246",https://dairystatebank.com/business/credit-cards/ | https://dairystatebank.com/
5. ELAN (U.S. Bank agent),70,Bank of Luxemburg,Luxemburg,13264,631259,0,ELAN,Business Visa/Mastercard credit cards (Elan suite),https://creditcardlearnmore.com/11t3/index?ecdma-lc=27844&ecid=OTHE_25940,online,https://www.bankofluxemburg.com/business/business-credit-cards,VERIFIED-own-page,Own page disclosure names Elan Financial Services ('Elan Financial Services provides zero fraud liability... The creditor and issuer of these cards is Elan Financial Services'); apply link -> creditcardlearnmore.com/11t3/index?ecdma-lc=27844; servicing myaccountaccess.com?theme=elan1&loc=27844,https://www.bankofluxemburg.com/business/business-credit-cards | https://www.bankofluxemburg.com/services/credit-cards
5. ELAN (U.S. Bank agent),70,"Great Midwest Bank, S.S.B.",Brookfield,29657,616915,47,ELAN,Business Visa/Mastercard - cash back or flexible rewards (Elan),https://creditcardlearnmore.com/11t3/index?ecdma-lc=01791&ecid=OTHE_25940,Online self-serve,https://greatmidwestbank.com/bank-account/credit-cards/,VERIFIED-own-page,"Own credit-card page discloses: ""The creditor and issuer of these cards is Elan Financial Services, pursuant to a license from Visa U.S.A. Inc."" Apply = creditcardlearnmore.com; login = myaccountaccess.com; Elan Business Credit Card phone (866) 552-8855 listed",https://greatmidwestbank.com/bank-account/credit-cards/
5. ELAN (U.S. Bank agent),70,Ixonia Bank,Ixonia,12514,602665,234,ELAN,Business credit cards (low rate / cash back / flexible rewards; names not listed),https://creditcardlearnmore.com/11t3/index?ecdma-lc=X00396&ecid=OTHE_25940,Online self-serve (Elan creditcardlearnmore.com),https://www.ixoniabank.com/commercial/business-loan-products/credit-cards/,VERIFIED-own-page,"Own-page disclosure: ""The creditor and issuer of these cards is Elan Financial Services, pursuant to separate licenses from Visa U.S.A. Inc., and Mastercard International Incorporated."" Apply link on creditcardlearnmore.com (Elan)",https://www.ixoniabank.com/commercial/business-loan-products/credit-cards/
5. ELAN (U.S. Bank agent),70,The Stephenson National Bank and Trust,Marinette,5306,595960,603,ELAN,Business low rate / cash back / flexible rewards Visa cards,https://creditcardlearnmore.com/11t3/index?ecdma-lc=00190&ecid=OTHE_25940,Online self-serve (Elan portal),https://www.snbt.com/corporate-credit-cards,VERIFIED-own-page,"Own business credit card page states creditor/issuer is ""Elan Financial Services, pursuant to separate licenses from Visa U.S.A. Inc., and Mastercard International Incorporated.""",https://www.snbt.com/corporate-credit-cards
5. ELAN (U.S. Bank agent),70,Bank of Sun Prairie,Sun Prairie,13565,587550,0,ELAN,Visa Business credit cards (Elan suite),https://creditcardlearnmore.com/11t3/index?ecdma-lc=32345&ecid=OTHE_25940,online,https://bankofsunprairie.com/business-credit-cards.html,VERIFIED-own-page,"Own page: 'The creditor and issuer of these cards is Elan Financial Services, pursuant to separate licenses from Visa U.S.A. Inc., and MasterCard International Incorporated.' Apply link -> creditcardlearnmore.com/11t3/index?ecdma-lc=32345; servicing myaccountaccess.com?theme=elan1&loc=32345",https://bankofsunprairie.com/business-credit-cards.html
5. ELAN (U.S. Bank agent),60,Fortifi Bank,Berlin,5286,583932,0,ELAN,Fortifi Bank Business Mastercard (Elan-issued),https://www.mycardapply.com/synindex/?ecdma-lc=37563&ecid=OTHE_25940&offertype=0,Online self-serve (also legacy PDF business app),https://www.fortifibank.com/cards/,INFERRED,Own /cards/ page offers personal AND business credit cards via a single apply portal at mycardapply.com (Elan Financial Services' application site; ecdma-lc / ecid=OTHE_25940 = Elan tracking params). No TCM/mycommunitycc/TIB/CorServ reference on site,https://www.fortifibank.com/cards/ | https://www.mycardapply.com/synindex/ | https://www.fortifibank.com/wp-content/uploads/2020/06/Fortifi-Bank-Business-Credit-Card-App.pdf
5. ELAN (U.S. Bank agent),70,Northwestern Bank,Chippewa Falls,2468,577225,140,ELAN,Business credit cards (low rate / cash back / flexible rewards; names not listed),https://creditcardlearnmore.com/11t3/index?ecdma-lc=00201&ecid=OTHE_25940#business,Online self-serve (Elan creditcardlearnmore.com),https://www.northwesternbank.com/business/borrow/business-credit-cards/,VERIFIED-own-page,"Own-page disclosure: ""The creditor and issuer of these cards is Elan Financial Services, pursuant to separate licenses from Visa U.S.A. Inc., and Mastercard International Incorporated."" Apply creditcardlearnmore.com; servicing myaccountaccess.com",https://www.northwesternbank.com/business/borrow/business-credit-cards/
5. ELAN (U.S. Bank agent),70,AbbyBank,Abbotsford,19795,565305,0,ELAN,Business low rate / cash back / flexible rewards cards,https://creditcardlearnmore.com/11t3/index?ecdma-lc=416&ecid=OTHE_25940,Online self-serve (Elan portal),https://www.abbybank.com/services/card-services/credit-cards,VERIFIED-own-page,"Own card-services page states: ""The creditor and issuer of these cards is Elan Financial Services, pursuant to separate licenses from Visa U.S.A. Inc., and Mastercard International Incorporated.""",https://www.abbybank.com/services/card-services/credit-cards
5. ELAN (U.S. Bank agent),70,Community First Bank,Boscobel,11595,530940,181,ELAN,Business Visa Credit Cards (product names not itemized),https://creditcardlearnmore.com/11t3/index?ecdma-lc=0507&ecid=OTHE_25940,Online self-serve (Apply/Learn More to Elan portal),https://www.cfbank.com/Business/Bank/Cards/Credit-Cards,VERIFIED-own-page,Own business credit card page apply link = creditcardlearnmore.com (lc=0507) and cardholder access = myaccountaccess.com/onlineCard/login.do?theme=elan2&loc=0507 - both Elan Financial Services domains. No TCM/mycommunitycc reference. (Entity confirmed: cfbank.com = Community First Bank HQ 925 Wisconsin Ave Boscobel WI; distinct from Community First Bank of Rosholt WI at cfbwi.bank),https://www.cfbank.com/Business/Bank/Cards/Credit-Cards | https://www.cfbank.com/Locations-Hours
5. ELAN (U.S. Bank agent),66,Baraboo State Bank,Baraboo,12788,496839,180,ELAN,Visa Business Cash Preferred; Visa Business Zero+; Smart Business Rewards Visa Signature; Visa Business Real Rewards,https://creditcardlearnmore.com/11t3/index?ecdma-lc=00429&ecid=OTHE_25940,Online self-serve (Elan portal),https://www.baraboobank.com/business/banking/business-credit-cards,VERIFIED-own-page,"Own business credit card page states: ""The creditor and issuer of these cards is Elan Financial Services, pursuant to separate licenses from Visa U.S.A. Inc., and Mastercard International Incorporated.""",https://www.baraboobank.com/business/banking/business-credit-cards
5. ELAN (U.S. Bank agent),66,PremierBank,Fort Atkinson,5295,456623,0,ELAN,Business Credit Cards (product names not itemized),https://creditcardlearnmore.com/11t3/index?ecdma-lc=32342&ecid=OTHE_25940,Online self-serve (Apply to Elan portal),https://www.bankwithpremier.com/loans/credit-cards/,VERIFIED-own-page,"Own page discloses: ""The creditor and issuer of these cards is Elan Financial Services, pursuant to separate licenses from Visa U.S.A. Inc., and Mastercard International Incorporated."" Business apply link = creditcardlearnmore.com (lc=32342); access = myaccountaccess.com theme=elan1",https://www.bankwithpremier.com/loans/credit-cards/
5. ELAN (U.S. Bank agent),66,State Bank Financial,La Crosse,10383,451824,0,ELAN,Visa Business Credit Cards (low rate / cash back / flexible rewards),https://creditcardlearnmore.com/11t3/index?ecdma-lc=00230&ecid=OTHE_25940#business,Online self-serve via Elan creditcardlearnmore portal,https://www.statebankfinancial.bank/loans-credit/credit-cards/visa-business-credit-cards.html,VERIFIED-own-page,"Own Visa Business Credit Cards page states: ""The creditor and issuer of these cards is Elan Financial Services, pursuant to a license from Visa U.S.A. Inc.""; cardholder login myaccountaccess.com",https://www.statebankfinancial.bank/loans-credit/credit-cards/visa-business-credit-cards.html
5. ELAN (U.S. Bank agent),66,State Bank of Chilton,Chilton,12331,433403,172,ELAN,Business low rate / cash back / flexible rewards cards,https://creditcardlearnmore.com/11t3/index?ecdma-lc=310&ecid=OTHE_25940,Online self-serve (Elan portal),https://www.statebankofchilton.com/business-credit-cards,VERIFIED-own-page,"Own business credit card page states: ""The creditor and issuer of these cards is Elan Financial Services, pursuant to separate licenses from Visa U.S.A. Inc., and Mastercard International Incorporated.""",https://www.statebankofchilton.com/business-credit-cards
5. ELAN (U.S. Bank agent),66,Citizens State Bank,Hudson,6194,411208,0,ELAN,Elan Visa Business Credit Cards,https://creditcardlearnmore.com/11t3/index?ecdma-lc=513&ecid=OTHE_25940,Online self-serve,https://www.csbnet.net/business/credit-cards,VERIFIED-own-page,"Own business-card page states: ""Citizens State Bank partners with Elan VISA so you can find a business card solution that is right for you."" Apply = creditcardlearnmore.com (Elan); login = myaccountaccess.com. Entity confirmed as Hudson WI HQ on csbnet.net",https://www.csbnet.net/business/credit-cards
