Tier,Institution,SoCal?,County,Cities,Self-UW,Biz card,Card link,No-doc (+grade),ChexSystems,EWS,Bureau (hard pull),Est. limit,Apply,Website,Sources
🟥 3,NUVISION FEDERAL CREDIT UNION (https://nuvisionfederal.com),YES,Los Angeles; Orange; San Diego,"Huntington Beac, Carson",SELF,YES,link (https://nuvisionfederal.com/business-banking/credit-cards),⭐ YES (VERIFIED-own-page) (https://nuvisionfederal.com/business-banking/credit-cards),YES (COMMUNITY-DP) (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/),UNK,Still unknown. NuVision (Huntington Beach CA; Denali AK divi (UNKNOWN) (https://nuvisionfederal.com/business-banking/credit-cards),$0,Online (also fax/branch form) (https://nuvisionfederal.com/business-banking/credit-cards),https://nuvisionfederal.com (https://nuvisionfederal.com),https://nuvisionfederal.com/business-banking/credit-cards (https://nuvisionfederal.com/business-banking/credit-cards)
🟥 3,PROVIDENT CREDIT UNION (https://www.providentcu.org),YES,San Bernardino; Riverside,Riverside,SELF,YES,link (https://www.providentcu.org/business/business-credit-cards),⭐ YES (VERIFIED-own-page) (https://providentcu.org/business/business-credit-cards),YES (COMMUNITY-DP) (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/),UNK,Hard pull CONFIRMED for cards (SuperMoney); bureau NOT ident (CONSUMER-PROXY) (https://www.supermoney.com/reviews/personal-credit-cards/provident-credit-union-visa-rewards-credit-card),$1,Online (member flow: new members open biz savings first; existing via online banking) (https://providentcu.org/business/business-credit-cards/apply),https://www.providentcu.org (https://www.providentcu.org),https://www.providentcu.org/business/business-credit-cards (https://www.providentcu.org/business/business-credit-cards)
🟥 3,Banner Bank (https://www.bannerbank.com),YES,Los Angeles; San Bernardino; Riverside; San Diego,"Walla Walla, Rancho Cucamonga",SELF,YES,link (https://www.bannerbank.com/business-solutions/services/small-business-credit-card/business-platinum-mastercard),⭐ YES (VERIFIED-own-page) (https://www.bannerbank.com/business-solutions/services/small-business-credit-card/business-platinum-mastercard),YES (COMMUNITY-DP) (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/),UNK,CONFIRMED self-issued: Banner Bank Business Mastercard Credi (VERIFIED-DISCLOSURE) (https://www.bannerbank.com/financial-resources/terms-and-tips/business-mastercard-credit-card-agreement),$0,In-person,https://www.bannerbank.com (https://www.bannerbank.com),https://www.bannerbank.com/business-solutions/services/small-business-credit-card/business-platinum-mastercard (https://www.bannerbank.com/business-solutions/services/small-business-credit-card/business-platinum-mastercard)
🟥 3,ORANGE COUNTY'S FEDERAL CREDIT UNION (https://www.orangecountyscu.org),YES,Los Angeles; San Bernardino; Orange,"Santa Ana, Long Beach",SELF,YES,link (https://www.orangecountyscu.org/products/credit-cards/),unknown (none-found) (https://www.orangecountyscu.org/products/credit-cards/),YES (COMMUNITY-DP) (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/#comment-1196492),YES (COMMUNITY-DP),EXPERIAN - own FAQ/knowledge base states: 'typically pulls a (http://www.fuzeqna.com/orangecountys/ext/kb218-credit-bureau-report-experian-equifax-transunion-what-credit-agencies-do-you-use-to-pull-credit-reports),$0,Branch/phone (no online business-card app found) (https://www.orangecountyscu.org/about-us/contact-us/),https://www.orangecountyscu.org (https://www.orangecountyscu.org),https://www.orangecountyscu.org/products/business-services/ (https://www.orangecountyscu.org/products/business-services/)
🟥 3,ALTURA FEDERAL CREDIT UNION (https://www.alturacu.com),YES,Riverside,Riverside,SELF,YES,link (https://www.alturacu.com/business-credit-card/),⭐ YES (VERIFIED-own-page) (https://www.alturacu.com/business-credit-card/),YES (COMMUNITY-DP) (https://www.alturacu.com/products/checking/personal-accounts/reliance-checking/),UNK,No business-card-specific DP. Altura credit-reporting-agenci (CONSUMER-PROXY) (https://www.alturacu.com/credit-reporting-agencies/),$0,In-person (https://www.alturacu.com/business-credit-card/ (apply = visit branch or call 888-883-7228)),https://www.alturacu.com (https://www.alturacu.com),https://www.alturacu.com/business-credit-card/ (https://www.alturacu.com/business-credit-card/)
🟥 3,MidFirst Bank (https://www.midfirst.com),YES,Los Angeles; San Diego,Oklahoma City,SELF,YES,link (https://www.midfirst.com/business-and-commercial/card-solutions/credit),⭐ YES (COMMUNITY-DP) (https://ficoforums.myfico.com/t5/Credit-Cards/MidFirst-Bank-Has-anyone-heard-of-them/td-p/4706395),YES (COMMUNITY-DP) (https://smartasset.com/checking-account/midfirst-bank-banking-review),UNK,Mixed/any of three — WalletHub answer is consumer-card gener (CONSUMER-PROXY) (https://wallethub.com/answers/cc/what-credit-bureau-does-midfirst-bank-use-1000625-2140758323/),—,In-person (banking center / local banker; no online app shown),https://www.midfirst.com (https://www.midfirst.com),https://www.midfirst.com/business-and-commercial/card-solutions/credit (https://www.midfirst.com/business-and-commercial/card-solutions/credit)
🟥 3,Valley National Bank (https://www.valley.com),YES,Los Angeles,Passaic,SELF,YES,link (https://www.valley.com/business/commercial-lending/valley-visa-business-credit-card),unknown (-),YES (COMMUNITY-DP) (https://www.doctorofcredit.com/banks-credit-unions-chexsystems-inquiry-sensitive/),UNK,Inquiry bureau still unknown. Confirmed product = Valley Vis (UNKNOWN) (https://www.valley.com/business/business-credit-cards),$25K,Interest form online then rep contact (no direct online app) (https://www.valley.com/business/business-credit-cards),https://www.valley.com (https://www.valley.com),https://www.valley.com/business/commercial-lending/valley-visa-business-credit-card (https://www.valley.com/business/commercial-lending/valley-visa-business-credit-card)
🟥 3,BAY FEDERAL CREDIT UNION (https://www.bayfed.com),YES,Los Angeles,Redondo Beach,SELF,YES,link (https://www.bayfed.com/business/visa-credit),unknown (-),YES (VERIFIED-own-doc) (https://www.bayfed.com/checking-savings/checking/checking-accounts),UNK,UNKNOWN bureau — Business Visa card exists (in-house CU card (UNKNOWN) (https://www.bayfed.com/business/visa-credit),$50K,Contact/branch,https://www.bayfed.com (https://www.bayfed.com),https://www.bayfed.com/business/visa-credit (https://www.bayfed.com/business/visa-credit)
🟥 3,CHRISTIAN COMMUNITY CREDIT UNION (https://www.adelfibanking.com),YES,Los Angeles; Orange,San Dimas,SELF,YES,link (https://www.adelfibanking.com/ministry/ministry-credit-cards/),⭐ YES (VERIFIED-own-page) (https://www.adelfibanking.com/business/business-credit-cards/),YES (COMMUNITY-DP) (https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/),UNK,No bureau DP; now operates as AdelFi; business Visa Rewards  (UNKNOWN) (https://www.adelfibanking.com/business/business-credit-cards/),$300,Contact/assisted ('Contact Us to Apply'; AdelFi membership required first) (https://www.adelfibanking.com/ministry/ministry-credit-cards/),https://www.adelfibanking.com (https://www.adelfibanking.com),https://www.adelfibanking.com/ministry/ministry-credit-cards/ (https://www.adelfibanking.com/ministry/ministry-credit-cards/)
🟥 3,LOS ANGELES FEDERAL CREDIT UNION (https://www.lafcu.org),YES,Los Angeles,Glendale,SELF,YES,link (https://www.lafcu.org/loans-credit/business-loans),unknown (COMMUNITY-DP) (https://ficoforums.myfico.com/t5/Personal-Finance/Los-Angeles-Federal-Credit-Union-DP-and-Info/td-p/6596415),YES (COMMUNITY-DP) (https://www.lafcu.org/),UNK,TransUnion primary — myFICO DPs: membership hard pull hits T (COMMUNITY-DP) (https://ficoforums.myfico.com/t5/Personal-Finance/Los-Angeles-Federal-Credit-Union-DP-and-Info/td-p/6596415),$0,Online (https://www.lafcu.org/loans-credit/business-loans (online application via lending platform)),https://www.lafcu.org (https://www.lafcu.org),https://www.lafcu.org/loans-credit/business-loans (https://www.lafcu.org/loans-credit/business-loans)
🟥 3,"Sunflower Bank, National Association (https://www.sunflowerbank.com)",YES,Los Angeles; San Diego,Dallas,SELF,YES,link (https://www.sunflowerbank.com/business/business-accounts/credit-cards/small-business-and-corporate-credit-cards/),unknown (-),YES (COMMUNITY-DP) (https://smartasset.com/checking-account/sunflower-bank-banking-review),UNK,"UNKNOWN — Sunflower self-issues business cards (Visa, licens (UNKNOWN) (https://www.sunflowerbank.com/business/business-accounts/credit-cards/small-business-and-corporate-credit-cards/)",—,Branch/contact (no online app found) (https://www.sunflowerbank.com/business/business-accounts/credit-cards),https://www.sunflowerbank.com (https://www.sunflowerbank.com),https://www.sunflowerbank.com/business/business-accounts/credit-cards (https://www.sunflowerbank.com/business/business-accounts/credit-cards)
🟥 3,SIERRA CENTRAL CREDIT UNION (https://www.sierracentral.com),YES,Ventura,Porterville,SELF,YES,link (https://www.sierracentral.com/products/business-visa),⭐ YES (VERIFIED-own-page) (https://www.sierracentral.com/borrow/credit-cards),YES (COMMUNITY-DP) (https://www.bbb.org/us/ca/yuba-city/profile/credit-union/sierra-central-credit-union-1156-27000678/complaints),UNK,Still unknown. Sierra Central (Yuba City CA) offers a self-b (UNKNOWN) (https://www.sierracentral.com/borrow/credit-cards),$5K,Online (https://sierracentral.apps.ilendx.tech/),https://www.sierracentral.com (https://www.sierracentral.com),https://www.sierracentral.com/borrow/credit-cards (https://www.sierracentral.com/borrow/credit-cards)
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
