Institution,ChexSystems,Chex_link,EWS,EWS_link,LexisNexis_SageStream,LN_link,Other_secondary,Other_link,Notes
Community Commerce Bank,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Community Valley Bank,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Community West Bank,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Searched 2026-06-10 (web + DoC docs): no Chex/EWS data points found. UNKNOWN — never guess; verify with banker at opening.
CommunityAmerica Credit Union (ex-UNIFY),"Membership: Yes (legacy UNIFY: 5 DPs, NOT sensitive, approved 50+/12mo); post-merger behavior unconfirmed | BUSINESS: UNKNOWN — biz checking offered; deposit-screen unpublished [2026-05-22 (EWS-clean DP); 2026-06-11]",https://www.communityamerica.com/business/bank/accounts/business-checking,Membership: No — EWS-CLEAN ('Community America' on Dealgamer 2026-05-22 'doesn't report and no inquiry' EWS list) | BUSINESS: UNKNOWN [2026-05-22 (EWS-clean DP); 2026-06-11],https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/#comment-2326911,UNKNOWN,—,UNKNOWN,—,"v7 chex_socal_cus. ⚠ PULLS-ONE (Chex legacy, not sensitive) / EWS-clean. v6 ews_chex_mapping. NEW vs N/M: 'Community America' on Dealgamer 2026-05-22 'doesn't report and no inquiry' EWS list = EWS-CLEAN. Chex via legacy UNIFY entries (does pull x5, approved 50+/12 = not sensitive); post-merger behavior unconfirmed."
Credit Union of New Jersey,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Credit Union of Southern California (CU SoCal),Membership: YES — HIGHLY SENSITIVE (own site: 'All accounts verified by ChexSystems'; denied at 3/6mo; Aspire = second-chance tier for ChexSystems-flagged) | BUSINESS: YES — own checking pages say 'All new accounts verified through ChexSystems'; consumer-focused (SSN/ITIN not EIN noted); no biz-bypass found [2026-06-10/11 (own site + sens page)],https://www.cusocal.org/accounts/open-an-account/,Membership: UNKNOWN | BUSINESS: UNKNOWN [2026-06-10/11 (own site + sens page)],https://www.cusocal.org/accounts/open-an-account/,UNKNOWN,—,UNKNOWN,—,"v7 chex_socal_cus. ❌ BOTH-PULL-ish (Chex confirmed + highly sensitive) — open FIRST or skip. v6 ews_chex_mapping. NEW vs N/M: CU SoCal sens page: denied at 3/6 or 12/12; approved at 1/6, 5/12, 11/24. One of the MOST Chex-inquiry-sensitive in the table — open FIRST or skip."
East West Bank,"Yes — Crediful: uses Chex to screen checking applicants; own Deposit Agreement (eff. 2024-06-01) 'New Account Verification' = generic 'check or credit reporting agency', vendor UNNAMED [COMMUNITY-DP (Crediful) + Generic-CRA-clause (own doc); 2026-06-12]",https://www.crediful.com/chexsystems/east-west-bank/,Generic-CRA-clause (vendor unnamed) — own Deposit Agreement names no EWS; 0 'Early Warning' hits in 60-pg doc [VERIFIED-absence; 2026-06-12],https://www.eastwestbank.com/content/dam/ewb-dotcom/docs/terms-and-conditions/Deposit_Account_Agreement.pdf,Not named in own 60-pg Deposit Agreement [VERIFIED-absence; 2026-06-12] — inquiry-side UNKNOWN,https://www.eastwestbank.com/content/dam/ewb-dotcom/docs/terms-and-conditions/Deposit_Account_Agreement.pdf,UNKNOWN,—,P2: agreement quote: 'We may use a third-party service to verify and obtain information regarding your previous banking relationships... credit information from a check or credit reporting agency'. v6 ews_chex_mapping. NEW vs N/M: Crediful: East West Bank uses ChexSystems to screen checking applicants.
Eastern International Bank,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
"El Dorado Savings Bank, F.S.B.",UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Endeavor Bank,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Enterprise Bank & Trust,"Consumer: UNKNOWN — no public deposit agreement online; no DoC/forum DPs (searched 2026-06-11; v6 also no-data 2026-06-10) | BUSINESS: UNKNOWN — RM-channel onboarding, no online opener found; no DP either way [2026-06-11 (searched, no data)]","https://www.enterprisebank.com/disclosures (privacy only, no deposit agmt)","Consumer: UNKNOWN — no data | BUSINESS: UNKNOWN — no data [2026-06-11 (searched, no data)]","https://www.enterprisebank.com/disclosures (privacy only, no deposit agmt)",UNKNOWN,—,UNKNOWN,—,v7 chex_socal_banks (business angle). ❓ UNKNOWN — ask. v6 ews_chex_mapping. Searched 2026-06-10 (web + DoC docs): no Chex/EWS data points found. UNKNOWN — never guess; verify with banker at opening.
"EverBank, N.A.",Yes — legacy 'TIAA' entry (DoC 2025-08-07) [DOC-LIST + COMMUNITY-DP; 2022-11-20],https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. UPGRADE vs existing EWS=N/M: TIAA Bank (now EverBank) on Gadget 2022-11-20 EWS-reporter list; sens page: TIAA Direct NOT sensitive (50+/12 OK).
EverTrust Bank,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Exchange Bank,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
F&A Federal Credit Union,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
FFB Bank,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Searched 2026-06-10 (web + DoC docs): no Chex/EWS data points found. UNKNOWN — never guess; verify with banker at opening.
FNBO (First National Bank of Omaha),"Consumer: UNKNOWN-sensitive — DoC consumer bonus page field: 'ChexSystems: Unknown, sensitive'; 'Soft pull' | BUSINESS: UNKNOWN-sensitive — DoC BUSINESS checking bonus page (in-branch offer) same fields: 'ChexSystems: Unknown, sensitive' + 'Soft pull'; screening vendor unconfirmed [2026-06-11 (DoC pages fetched)]",https://www.doctorofcredit.com/il-ne-ks-tx-co-in-branch-fnbo-bank-500-business-checking-bonus/,Consumer: UNKNOWN — not on DoC EWS list | BUSINESS: UNKNOWN [2026-06-11 (DoC pages fetched)],https://www.doctorofcredit.com/il-ne-ks-tx-co-in-branch-fnbo-bank-500-business-checking-bonus/,UNKNOWN,—,UNKNOWN,—,"v7 chex_socal_banks (business angle). ❓ UNKNOWN — ask (lean: soft-pull, Chex-sensitive if pulled)."
Farmers & Merchants Bank of Central California,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Farmers & Merchants Bank of Long Beach,Consumer: Yes — VERIFIED own T&C (eff. Apr 2024): 'new accounts are subject to verification through ChexSystems®' | BUSINESS: Yes — VERIFIED: same T&C explicitly 'apply to both personal account owners... and business account owners'; CREDIT VERIFICATION section is account-type-agnostic; also reports closures to Chex [2026-06-11 (doc eff. 2024-04)],https://www.fmb.com/-/media/terms-and-conditions/fmb-termsandconditions.pdf,"Consumer: No mention — 0 'Early Warning' hits in 48-pg T&C (lean-no, not conclusive) | BUSINESS: No mention (lean-no, same doc) [2026-06-11 (doc eff. 2024-04)]",https://www.fmb.com/-/media/terms-and-conditions/fmb-termsandconditions.pdf,UNKNOWN,—,UNKNOWN,—,"v7 chex_socal_banks (business angle). ⚠ pulls one (Chex, incl. business; EWS lean-no). v6 ews_chex_mapping. Searched 2026-06-10 (web + DoC docs): no Chex/EWS data points found. UNKNOWN — never guess; verify with banker at opening."
Fifth Third Bank,Pull: Yes (14 DPs; single combined pull for chk+sav same day) [DOC-LIST + COMMUNITY-DP; 2026-05-22],https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/,Pull: Yes [DOC-LIST + COMMUNITY-DP; 2026-05-22],https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/#comment-2326911,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. NEW vs N/M: Fifth Third pulls Chex (sens page: declined 10/6 = somewhat sensitive); EWS inquiry + reports ACH (2026-05-22; also 2024-03-27 inquiry DP).
Financial Partners Credit Union,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Firefighters First Credit Union,Membership: UNKNOWN — no Chex/EWS data (occupational closed SEG) | BUSINESS: UNKNOWN [2026-06-10 (no data); 2026-06-11 eligibility verified],https://www.firefightersfirstcu.org/Resources/Become-A-Member/Membership-Eligibility,Membership: UNKNOWN | BUSINESS: UNKNOWN [2026-06-10 (no data); 2026-06-11 eligibility verified],https://www.firefightersfirstcu.org/Resources/Become-A-Member/Membership-Eligibility,UNKNOWN,—,UNKNOWN,—,v7 chex_socal_cus. ❓ UNKNOWN — but eligibility-gated; deprioritize. v6 ews_chex_mapping. Web search 2026-06-10 found no Chex/EWS data for Firefighters First CU. Closed SEG (firefighter families). Ask at onboarding.
"First American Trust, FSB",UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
First Bank (MO),UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,"v6 ews_chex_mapping. No DPs for First Bank (firstbanks.com, MO). DoC 'First Bank (Myfirstbank)' = FirstBank Colorado (doesn't pull) and sens-page 'First Bank'/'FirstBank [CA,AZ,CO]' entries are AMBIGUOUS — do not apply."
First Citizens Bank,Yes — pulls (DoC 2025-08-07; Crediful 2025-10-07) [DOC-LIST + COMMUNITY-DP; 2022-11-20],https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/,N/M (not on DoC EWS list) [DOC-LIST + COMMUNITY-DP; 2022-11-20],https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/#comment-1492418,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. UPGRADE vs existing EWS=N/M: First Citizens Bank is on Gadget 2022-11-20 list of banks that REPORT new accounts/activity to EWS (no inquiry DP). Chex sens page: declined only at 32+/12mo — tolerant of moderate inquiry counts.
First City Credit Union,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
First Commercial Bank (USA),UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
First Credit Bank,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
First Federal S&L of San Rafael,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
First Foundation Bank,UNKNOWN,—,Pull: Yes [COMMUNITY-DP; 2021-05-26],https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/#comment-1196492,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. NEW vs N/M: First Foundation on Davis 2021-05-26 list of banks that PULLED his EWS.
First General Bank,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
First IC Bank,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
First Northern Bank of Dixon,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
First Pacific Bank,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
First Tech Federal Credit Union,Pull: Mixed (4 yes / 3 no) — SENSITIVE [DOC-LIST; 2025-08-07],https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,"v6 ews_chex_mapping. DoC Chex mixed; sens page: denied 15/24, 22/9; approved 85+/24 (inconsistent but lean sensitive)."
First Western Trust Bank,N/M (HNW manual onboarding; no DPs) [v6 existing cell],—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Existing cell stands; no new evidence found in DoC docs.
Five Star Bank,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
"Flagstar Bank, N.A.",Yes — pulls (DoC 2025-08-07) [DOC-LIST; 2025-08-07],https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. DoC: Flagstar does pull (1). Now NYCB family — sens page: 'NYCB Family of Banks declined with 12 in last 24 months' = moderately sensitive. CONFIRMS existing cell + adds sensitivity.
Found (fintech),Membership: No — does NOT use ChexSystems (DoC 'don't pull' list + own description 'no credit check or ChexSystems') | BUSINESS: No — same; designed for self-employed/sole-props [2026-06-11],https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/,Membership: No (identity-only) | BUSINESS: No [2026-06-11],https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/,UNKNOWN,—,UNKNOWN,—,v7 chex_socal_cus. 🏆 GOLD (fintech no-Chex banking layer) — verified-no-Chex.
Fremont Bank,Pull: Yes — SENSITIVE [DOC-LIST; fetched 2026-06-10],https://www.doctorofcredit.com/banks-credit-unions-chexsystems-inquiry-sensitive/,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. NEW vs N/M: DoC inquiry-sensitive list: Fremont Bank 'Declined with 10 in past 12 months'.
Frontwave Credit Union,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
GBC International Bank,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Searched 2026-06-10 (web + DoC docs): no Chex/EWS data points found. UNKNOWN — never guess; verify with banker at opening.
"Gateway Bank, F.S.B.",UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Genesis Bank,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Golden 1 Credit Union,Yes — pulls Chex and is INQUIRY-SENSITIVE ('signing up for lots of bank bonuses => struggle to be approved for membership') [DOC-LIST; 2026-06-12 search],https://www.doctorofcredit.com/banks-credit-unions-chexsystems-inquiry-sensitive/,UNKNOWN,—,UNKNOWN,—,"Equifax HARD pull just to join (credit bureau, noted for completeness) [COMMUNITY-DP; 2026-06-12]",https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/,P2 UPGRADE vs UNKNOWN. Non-CA join requires Financial Fitness Association ($5). v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
"Golden Bank, N.A.",UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Golden State Bank,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Golden Valley Bank,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
HCN Bank,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Searched 2026-06-10 (web + DoC docs): no Chex/EWS data points found. UNKNOWN — never guess; verify with banker at opening.
HSBC Bank USA,Mixed DPs (DoC 2025-08-07) [DOC-LIST; 2025-08-07],https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/,"Yes — pulls, multiple DPs (DoC EWS list, acc. 2026-06-10) [DOC-LIST; 2025-08-07]",https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. DoC Chex mixed; D3 EWS list: does pull x4 (savings + checking).
Habib American Bank (HAB),UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Hanmi Bank,Pull: Yes (NOT sensitive — approved 10+/12mo) [DOC-LIST; fetched 2026-06-10],https://www.doctorofcredit.com/banks-credit-unions-chexsystems-inquiry-sensitive/,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. NEW vs N/M: Hanmi on sens page NOT-sensitive list: 'Approved with 10+ in the last 12 months' — implies Hanmi pulls Chex but tolerates inquiries.
Hatch Bank,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Heritage Bank of Commerce,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Home Bank of California,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Searched 2026-06-10 (web + DoC docs): no Chex/EWS data points found. UNKNOWN — never guess; verify with banker at opening.
HomeStreet Bank,Pull: Yes — approve-then-CLOSE risk [DOC-LIST; 2025-08-07],https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,"v6 ews_chex_mapping. DoC: HomeStreet does pull (1); sens page: 'Often approves then closes; denied at 3/3, 9/12, 18/12'."
"ICBC USA, N.A.",UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Icon Business Bank,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Searched 2026-06-10 (web + DoC docs): no Chex/EWS data points found. UNKNOWN — never guess; verify with banker at opening.
Infinity Bank,"N/M (no disclosure, no DPs — ask the banker) [v6 existing cell; 2026-06-10 (searched, no data)]",—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Searched 2026-06-10 (web + DoC docs): no Chex/EWS data points found. UNKNOWN — never guess; verify with banker at opening.
Israel Discount Bank of New York (IDB),"Consumer: UNKNOWN — deposit agreement PDF exists (idbny.com, Reg CC update eff. 2025-07-01) but 403-blocked; no Chex/EWS indexed on domain; no DPs | BUSINESS: UNKNOWN — private/commercial bank, RM onboarding [2026-06-11 (searched, doc inaccessible)]",https://www.idbny.com/-/media/B5236C198BD545CA9B6A926A39CEC185.ashx (403),"Consumer: UNKNOWN | BUSINESS: UNKNOWN [2026-06-11 (searched, doc inaccessible)]",https://www.idbny.com/-/media/B5236C198BD545CA9B6A926A39CEC185.ashx (403),UNKNOWN,—,UNKNOWN,—,v7 chex_socal_banks (business angle). ❓ UNKNOWN — ask (lean: private-bank manual onboarding). v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
KeyBank,Yes — pulls (DoC 2025-08-07; Crediful 2025-10-22) [DOC-LIST + COMMUNITY-DP; 2021-05-26],https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/,Yes — mixed 2-yes/1-no (DoC EWS list) [DOC-LIST + COMMUNITY-DP; 2021-05-26],https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. EWS: D3 list mixed (2 yes/1 no); Davis 2021-05-26 KeyBank pulled EWS (sav+chk). Sens page: sensitive to multiple applications. CONFIRMS existing cells.
Kinecta Federal Credit Union,Pull: Yes [VERIFIED (own doc) + COMMUNITY-DP; fetched 2026-06-10],https://www.kinecta.org/Kinecta/media/Kinecta/Forms/Fraud%20and%20Theft%20and%20Dispute%20Forms/consumer_credit_reporting_dispute.pdf,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. NEW vs N/M: Kinecta's own dispute form covers member info 'reported to a Consumer Reporting Agency (ChexSystems)' = REPORTS (VERIFIED); myFICO thread lists Kinecta as pulling Chex for membership (COMMUNITY-DP). Note: absorbed Xceed Financial CU (Xceed: DoC does pull x1).
LBS Financial Credit Union,Pull: Yes [DOC-LIST + COMMUNITY-DP; 2021-05-26],https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/,Pull: Yes [DOC-LIST + COMMUNITY-DP; 2021-05-26],https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/#comment-1196492,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. NEW vs N/M: LBS Financial pulls Chex (1) AND pulled EWS (Davis 2021-05-26).
"Legacy Bank (Murrieta, CA)",UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
"Liberty Bank, N.A. (Irvine, CA)",UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Lili (fintech),"Membership: No — 'no hidden fees, credit checks, or ChexSystems involved' (own/industry description) | BUSINESS: No — same identity-verification model [2026-06-11]",https://fitsmallbusiness.com/business-checking-account-online-no-chexsystems/,Membership: No (identity-only) | BUSINESS: No [2026-06-11],https://fitsmallbusiness.com/business-checking-account-online-no-chexsystems/,UNKNOWN,—,UNKNOWN,—,v7 chex_socal_cus. 🏆 GOLD (fintech no-Chex banking layer) — verified-no-Chex.
Logix Federal Credit Union,Membership: Yes — pulls Chex but LENIENT (second-chance reviews; may approve with single negative; secondary source undated) | BUSINESS: UNKNOWN — biz checking eligibility = location/industry gated; deposit-screen type not published [2026-06-10/11 (secondary undated)],https://www.logixbanking.com/business/accounts/eligibility,Membership: UNKNOWN | BUSINESS: UNKNOWN [2026-06-10/11 (secondary undated)],https://www.logixbanking.com/business/accounts/eligibility,UNKNOWN,—,UNKNOWN,—,"v7 chex_socal_cus. ⚠ PULLS-ONE (Chex, lenient) — biz unconfirmed. v6 ews_chex_mapping. NEW vs N/M: secondary sources state Logix reviews Chex but may approve with a single negative item (second-chance). Weak/undated — verify."
Los Angeles Federal Credit Union (LAFCU),"Yes — pulls + hard credit pull (own membership page verbatim, 2026-06-09); 2nd-chance if Chex balances paid [v6 existing cell]",—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Existing VERIFIED cell (own membership page) stands.
Malaga Bank F.S.B.,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Mechanics Bank,Yes — VERIFIED own Personal Account Agreement (doc dated 2026-03-23): 'new accounts are subject to verification through ChexSystems (the Reporting Agency) and may be declined based in whole or in part on information obtained in a report' [VERIFIED (own doc); 2026-06-12],https://www.mechanicsbank.com/contentassets/9e0348bebd2b44b2a8fa059267bcab78/1200-personal-account-agreement-disclosure-mkt10000-v3-final-mkt-copy.pdf,Not named in own 20-pg Personal Account Agreement [VERIFIED-absence; 2026-06-12] — inquiry-side UNKNOWN,https://www.mechanicsbank.com/contentassets/9e0348bebd2b44b2a8fa059267bcab78/1200-personal-account-agreement-disclosure-mkt10000-v3-final-mkt-copy.pdf,Not named in own agreement [VERIFIED-absence; 2026-06-12],https://www.mechanicsbank.com/contentassets/9e0348bebd2b44b2a8fa059267bcab78/1200-personal-account-agreement-disclosure-mkt10000-v3-final-mkt-copy.pdf,UNKNOWN,—,"P2 UPGRADE vs UNKNOWN. Also reports to 'credit bureaus, including ChexSystems' on unpaid balances. v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN."
Mega Bank,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Searched 2026-06-10 (web + DoC docs): no Chex/EWS data points found. UNKNOWN — never guess; verify with banker at opening.
Mercury (fintech),Membership: No — does NOT use ChexSystems (own/industry confirmed; SSN used solely for identity verification) | BUSINESS: No — Chex not used for business accounts; identity + compliance + business-activity review only; EWS not indicated [2026-06-11],https://mercury.com/business-banking,Membership: No (identity-only) | BUSINESS: No [2026-06-11],https://mercury.com/business-banking,UNKNOWN,—,UNKNOWN,—,v7 chex_socal_cus. 🏆 GOLD (fintech no-Chex banking layer) — verified-no-Chex.
Metropolitan Bank (Oakland),UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
MidFirst Bank,"Yes — pulls, 4 DPs (DoC 2025-08-07) [DOC-LIST + COMMUNITY-DP; 2022-11-20]",https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,"v6 ews_chex_mapping. UPGRADE vs existing EWS=N/M: MidFirst on Gadget 2022-11-20 EWS-reporter list; D5 appendix (Monifi): EWS in addition to Chex. Sens page: declined 7/12, denied 12/6 = sensitive."
Mission Bank,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Mission Federal Credit Union (Mission Fed),Pull: Yes [DOC-LIST; 2025-08-07],https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. DoC: Mission Federal CU does pull (1).
Mission National Bank,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Mission Valley Bank,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Searched 2026-06-10 (web + DoC docs): no Chex/EWS data points found. UNKNOWN — never guess; verify with banker at opening.
"Mizrahi Tefahot Bank, Ltd. (UMTB USA)",UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,UNKNOWN,—,v6 ews_chex_mapping. Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
