Institution,Rec_Rank,Existing_Chex_cell,Existing_EWS_cell,Chex_Pull,Chex_Report,EWS_Pull,EWS_Report,Evidence_grade,DP_date,Source_links,Note
Commonwealth Business Bank (CBB),67,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Mission Bank,68,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
American Airlines Credit Union,69,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
West Coast Community Bank,70,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Baxter Credit Union (BCU),71,N/M,N/M,UNKNOWN,UNKNOWN,No,No,COMMUNITY-DP,2026-05-22,https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/#comment-2326911,NEW vs N/M: Baxter Credit Union (BCU) on Dealgamer 2026-05-22 'doesn't report and no inquiry' EWS list = EWS-CLEAN. Chex unknown — GOLD-TIER CANDIDATE pending Chex verification.
Beach Cities Commercial Bank,72,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
First Tech Federal Credit Union,73,N/M,N/M,Mixed (4 yes / 3 no) — SENSITIVE,UNKNOWN,UNKNOWN,UNKNOWN,DOC-LIST,2025-08-07,https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/; https://www.doctorofcredit.com/banks-credit-unions-chexsystems-inquiry-sensitive/,"DoC Chex mixed; sens page: denied 15/24, 22/9; approved 85+/24 (inconsistent but lean sensitive)."
Metropolitan Bank (Oakland),74,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Together Credit Union,75,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
State Bank of India (California),76,N/M,N/M,Yes (NOT sensitive),UNKNOWN,UNKNOWN,UNKNOWN,DOC-LIST,2025-08-07,https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/; https://www.doctorofcredit.com/banks-credit-unions-chexsystems-inquiry-sensitive/,DoC: State Bank of India does pull (1); sens page: approved with high counts. DoC entry may be SBI NY — apply with caution to SBI California.
Umpqua Bank (Columbia),77,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Altura Credit Union,78,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Skyla Credit Union,79,N/M,N/M,UNKNOWN,UNKNOWN,No,No,COMMUNITY-DP,2026-05-22,https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/#comment-2326911,NEW vs N/M: Skyla on Dealgamer 2026-05-22 'doesn't report and no inquiry' EWS list = EWS-CLEAN. Chex unknown — GOLD-TIER CANDIDATE pending Chex verification.
"Provident Savings Bank, F.S.B.",80,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
BluPeak Credit Union (formerly USE Credit Union),81,N/M,N/M,Yes,UNKNOWN,UNKNOWN,UNKNOWN,DOC-LIST,2025-08-07,https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/,DoC: BluPeak does pull (2); legacy USE CU does pull (1).
EverTrust Bank,82,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
"EverBank, N.A.",83,Yes — legacy 'TIAA' entry (DoC 2025-08-07),N/M,Yes (TIAA legacy: 10 yes / 3 no),UNKNOWN,UNKNOWN,Yes,DOC-LIST + COMMUNITY-DP,2022-11-20,https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/; https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/#comment-1492418,UPGRADE vs existing EWS=N/M: TIAA Bank (now EverBank) on Gadget 2022-11-20 EWS-reporter list; sens page: TIAA Direct NOT sensitive (50+/12 OK).
"City First Bank, N.A.",84,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Endeavor Bank,85,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
BAC Community Bank,86,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
CommerceWest Bank,87,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
University Credit Union (LA),88,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
First General Bank,89,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Shinhan Bank America,90,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Habib American Bank (HAB),91,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
First Pacific Bank,92,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Community Bank of Santa Maria,93,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Credit Union of New Jersey,94,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
CAHP Credit Union,95,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Mechanics Bank,96,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Fifth Third Bank,97,N/M,N/M,Yes (14 DPs; single combined pull for chk+sav same day),UNKNOWN,Yes,Yes,DOC-LIST + COMMUNITY-DP,2026-05-22,https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/; https://www.doctorofcredit.com/banks-credit-unions-chexsystems-inquiry-sensitive/; https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/#comment-2326911,NEW vs N/M: Fifth Third pulls Chex (sens page: declined 10/6 = somewhat sensitive); EWS inquiry + reports ACH (2026-05-22; also 2024-03-27 inquiry DP).
"Sunflower Bank, N.A.",98,N/M,N/M,Yes,UNKNOWN,UNKNOWN,UNKNOWN,DOC-LIST,2025-08-07,https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/,DoC: Sunflower Bank does pull (4).
Woori America Bank,99,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Wallis Bank,100,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Poppy Bank,101,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Partners Bank of California,102,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Genesis Bank,103,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Westamerica Bank,104,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
"Legacy Bank (Murrieta, CA)",105,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Axos Bank,106,N/M,N/M,Yes (6 DPs; NOT sensitive — approved 50+/12mo),UNKNOWN,UNKNOWN,UNKNOWN,DOC-LIST,2025-08-07,https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/; https://www.doctorofcredit.com/banks-credit-unions-chexsystems-inquiry-sensitive/,NEW vs N/M: Axos pulls Chex but is inquiry-tolerant.
Bank of Hope,107,N/M,N/M,Yes — SENSITIVE (want <5/12mo),UNKNOWN,UNKNOWN,UNKNOWN,DOC-LIST,fetched 2026-06-10,https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/; https://www.doctorofcredit.com/banks-credit-unions-chexsystems-inquiry-sensitive/,"NEW vs N/M: DoC: Bank of Hope does pull (1); sens page: 'Denied with 7 in the last 12 months, they want less than 5'."
Bank of Stockton,108,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Bank of Marin,109,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Bank of the Sierra,110,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Exchange Bank,111,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Plumas Bank,112,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
SMBC MANUBANK,113,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Five Star Bank,114,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
First Northern Bank of Dixon,115,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Avidbank,116,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Farmers & Merchants Bank of Central California,117,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Redwood Capital Bank,118,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Summit Bank (Oakland),119,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
American Business Bank,120,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
United Business Bank,121,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
American Riviera Bank,122,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Savings Bank of Mendocino County,123,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
River Valley Community Bank,124,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
"California Bank of Commerce, N.A.",125,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
"Pinnacle Bank (Gilroy, CA)",126,N/M,N/M,UNKNOWN (DoC 'Pinnacle Bank' DPs likely Pinnacle Financial Partners TN),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,DoC Pinnacle entries ambiguous vs Pinnacle Bank (Gilroy CA) — do not apply.
Golden Valley Bank,127,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
First Foundation Bank,128,N/M,N/M,UNKNOWN,UNKNOWN,Yes,UNKNOWN,COMMUNITY-DP,2021-05-26,https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/#comment-1196492,NEW vs N/M: First Foundation on Davis 2021-05-26 list of banks that PULLED his EWS.
Israel Discount Bank of New York (IDB),129,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
HSBC Bank USA,130,Mixed DPs (DoC 2025-08-07),"Yes — pulls, multiple DPs (DoC EWS list, acc. 2026-06-10)",Mixed (9 yes / 13 no; NOT sensitive),UNKNOWN,Yes,UNKNOWN,DOC-LIST,2025-08-07,https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/; https://www.doctorofcredit.com/banks-credit-unions-chexsystems-inquiry-sensitive/; https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/,DoC Chex mixed; D3 EWS list: does pull x4 (savings + checking).
First Federal S&L of San Rafael,131,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
East West Bank,132,N/M,N/M,Yes,UNKNOWN,UNKNOWN,UNKNOWN,COMMUNITY-DP (secondary site),2026-06-10 (searched),https://www.crediful.com/chexsystems/east-west-bank/,NEW vs N/M: Crediful: East West Bank uses ChexSystems to screen checking applicants.
Oak Valley Community Bank,133,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Bank of San Francisco,134,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
The Northern Trust Company,135,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
First Western Trust Bank,136,N/M (HNW manual onboarding; no DPs),N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,(existing cell),—,—,Existing cell stands; no new evidence found in DoC docs.
Pacific Premier Bank,137,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
SchoolsFirst Federal Credit Union,138,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
HomeStreet Bank,139,N/M,N/M,Yes — approve-then-CLOSE risk,UNKNOWN,UNKNOWN,UNKNOWN,DOC-LIST,2025-08-07,https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/; https://www.doctorofcredit.com/banks-credit-unions-chexsystems-inquiry-sensitive/,"DoC: HomeStreet does pull (1); sens page: 'Often approves then closes; denied at 3/3, 9/12, 18/12'."
Golden 1 Credit Union,140,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
"Bank of America California, N.A.",141,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Star One Credit Union,142,N/M,N/M,Yes,UNKNOWN,UNKNOWN,UNKNOWN,DOC-LIST,2025-08-07,https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/,DoC: Star One does pull (3).
"First American Trust, FSB",143,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
"Mizrahi Tefahot Bank, Ltd. (UMTB USA)",144,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Mission Federal Credit Union (Mission Fed),145,N/M,N/M,Yes,UNKNOWN,UNKNOWN,UNKNOWN,DOC-LIST,2025-08-07,https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/,DoC: Mission Federal CU does pull (1).
Wescom Credit Union,146,N/M,N/M,Yes — SENSITIVE (denied 11-19/12mo),UNKNOWN,Yes,UNKNOWN,DOC-LIST + COMMUNITY-DP,2021-05-26,https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/; https://www.doctorofcredit.com/banks-credit-unions-chexsystems-inquiry-sensitive/; https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/#comment-1196492,"NEW vs N/M: Wescom pulls Chex (3) and is sensitive; ALSO pulled EWS (Davis 2021-05-26, sav+chk)."
River City Bank,147,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Heritage Bank of Commerce,148,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
CTBC Bank Corp. (USA),149,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Technology Credit Union (Tech CU),150,N/M,N/M,Yes (4 DPs; NOT sensitive — 25+/12 OK),UNKNOWN,No (2016 DP),UNKNOWN,DOC-LIST + COMMUNITY-DP,2016-10-21,https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/; https://www.doctorofcredit.com/banks-credit-unions-chexsystems-inquiry-sensitive/; https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/#comment-308348,"NEW vs N/M: Tech CU pulls ONLY Chex, not EWS (CGID 2016-10-21). Old DP — re-verify EWS."
Commercial Bank of California,151,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Credit Union of Southern California (CU SoCal),152,N/M,N/M,Yes — HIGHLY SENSITIVE (denied at 3/6mo),UNKNOWN,UNKNOWN,UNKNOWN,DOC-LIST,fetched 2026-06-10,https://www.doctorofcredit.com/banks-credit-unions-chexsystems-inquiry-sensitive/,"NEW vs N/M: CU SoCal sens page: denied at 3/6 or 12/12; approved at 1/6, 5/12, 11/24. One of the MOST Chex-inquiry-sensitive in the table — open FIRST or skip."
California Coast Credit Union,153,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
"El Dorado Savings Bank, F.S.B.",154,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Self-Help Federal Credit Union,155,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Financial Partners Credit Union,156,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Arrowhead Credit Union,157,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
F&A Federal Credit Union,158,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
LBS Financial Credit Union,159,N/M,N/M,Yes,UNKNOWN,Yes,UNKNOWN,DOC-LIST + COMMUNITY-DP,2021-05-26,https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/; https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-early-warning-services/#comment-1196492,NEW vs N/M: LBS Financial pulls Chex (1) AND pulled EWS (Davis 2021-05-26).
US Metro Bank,160,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Frontwave Credit Union,161,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Malaga Bank F.S.B.,162,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
"The Bank of New York Mellon Trust Company, N.A.",163,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Column National Association,164,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Bank of the Orient,165,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Water and Power Community Credit Union,166,Reports overdrawn accts to Chex (own FAQ 2026-06-10); screening N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,(existing cell),—,—,Existing cell (own FAQ: reports overdrawn accounts to Chex) stands; screening still unknown.
Pacific Coast Bankers' Bank (PCBB),167,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
OneUnited Bank,168,Yes — own pages confirm; U2 second-chance available (2026-06-10),N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,(existing cell),—,—,Existing VERIFIED cell stands.
"ICBC USA, N.A.",169,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
American First National Bank,170,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
"Golden Bank, N.A.",171,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Southwestern National Bank,172,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
First IC Bank,173,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
"Wilmington Trust, N.A.",174,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
"BNY Mellon, N.A.",175,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
CIBC National Trust Company,176,N/M,N/M,"UNKNOWN (parent CIBC does pull, 4 DPs)",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,https://www.doctorofcredit.com/banks-credit-unions-dodont-pull-chexsystems/,CIBC retail pulls Chex; trust-company onboarding likely different — do not apply.
"TIB, N.A. (The Independent BankersBank)",177,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Summit State Bank,178,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Golden State Bank,179,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
First City Credit Union,180,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
"C3bank, N.A.",181,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Nano Banc,182,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
First Commercial Bank (USA),183,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Pacific Valley Bank,184,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
Pacific Enterprise Bank,185,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
"New OMNI Bank, N.A.",186,N/M,N/M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,—,—,Not covered by DoC lists; not individually web-searched (low priority). UNKNOWN.
